date,deaths,confirmed,recovered,projectedDeaths,lethality,derivedConfirmed,derivedLethality,testCoverage,deaths_per1mio,confirmed_per1mio,recovered_per1mio,projectedDeaths_per1mio,derivedConfirmed_per1mio
2020-01-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0,6.0,0.0,0.0,0.0,33.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0
2020-02-02,0,6.0,0.0,0.0,0.0,33.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0
2020-02-03,0,6.0,0.0,0.0,0.0,33.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0
2020-02-04,0,6.0,0.0,0.0,0.0,33.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0
2020-02-05,0,6.0,0.0,0.0,0.0,33.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0
2020-02-06,0,6.0,0.0,0.0,0.0,33.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0
2020-02-07,0,6.0,0.0,0.0,0.0,33.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0
2020-02-08,0,11.0,0.0,0.0,0.0,33.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0
2020-02-09,0,11.0,0.0,0.0,0.0,33.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0
2020-02-10,0,11.0,0.0,0.0,0.0,33.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0
2020-02-11,0,11.0,0.0,0.0,0.0,33.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0
2020-02-12,0,11.0,2.0,0.0,0.0,67.0,0.0,0.164,0.0,0.0,0.0,0.0,1.0
2020-02-13,0,11.0,2.0,0.0,0.0,67.0,0.0,0.164,0.0,0.0,0.0,0.0,1.0
2020-02-14,0,11.0,2.0,0.0,0.0,67.0,0.0,0.164,0.0,0.0,0.0,0.0,1.0
2020-02-15,1,12.0,4.0,0.0,0.083,67.0,0.015,0.179,0.0,0.0,0.0,0.0,1.0
2020-02-16,1,12.0,4.0,0.0,0.083,67.0,0.015,0.179,0.0,0.0,0.0,0.0,1.0
2020-02-17,1,12.0,4.0,0.0,0.083,100.0,0.01,0.12,0.0,0.0,0.0,0.0,1.0
2020-02-18,1,12.0,4.0,0.0,0.083,133.0,0.008,0.09,0.0,0.0,0.0,0.0,2.0
2020-02-19,1,12.0,4.0,0.0,0.083,133.0,0.008,0.09,0.0,0.0,0.0,0.0,2.0
2020-02-20,1,12.0,4.0,0.0,0.083,200.0,0.005,0.06,0.0,0.0,0.0,0.0,3.0
2020-02-21,1,12.0,4.0,0.0,0.083,300.0,0.003,0.04,0.0,0.0,0.0,0.0,4.0
2020-02-22,1,12.0,4.0,0.0,0.083,367.0,0.003,0.033,0.0,0.0,0.0,0.0,5.0
2020-02-23,1,12.0,4.0,0.0,0.083,633.0,0.002,0.019,0.0,0.0,0.0,0.0,9.0
2020-02-24,1,12.0,4.0,0.0,0.083,633.0,0.002,0.019,0.0,0.0,0.0,0.0,9.0
2020-02-25,1,14.0,11.0,0.0,0.071,1100.0,0.001,0.013,0.0,0.0,0.0,0.0,16.0
2020-02-26,2,18.0,11.0,0.0,0.111,1600.0,0.001,0.011,0.0,0.0,0.0,0.0,24.0
2020-02-27,2,38.0,11.0,0.0,0.053,1600.0,0.001,0.024,0.0,1.0,0.0,0.0,24.0
2020-02-28,2,57.0,11.0,0.0,0.035,2633.0,0.001,0.022,0.0,1.0,0.0,0.0,39.0
2020-02-29,2,100.0,12.0,0.0,0.02,3033.0,0.001,0.033,0.0,1.0,0.0,0.0,45.0
2020-03-01,2,130.0,12.0,0.0,0.015,3033.0,0.001,0.043,0.0,2.0,0.0,0.0,45.0
2020-03-02,3,191.0,12.0,0.0,0.016,4967.0,0.001,0.038,0.0,3.0,0.0,0.0,74.0
2020-03-03,4,204.0,12.0,0.0,0.02,4967.0,0.001,0.041,0.0,3.0,0.0,0.0,74.0
2020-03-04,4,288.0,12.0,0.0,0.014,4967.0,0.001,0.058,0.0,4.0,0.0,0.0,74.0
2020-03-05,6,380.0,12.0,0.0,0.016,8133.0,0.001,0.047,0.0,6.0,0.0,0.0,121.0
2020-03-06,9,656.0,12.0,0.0,0.014,15033.0,0.001,0.044,0.0,10.0,0.0,0.0,224.0
2020-03-07,11,959.0,12.0,0.0,0.011,18767.0,0.001,0.051,0.0,14.0,0.0,0.0,280.0
2020-03-08,19,1136.0,12.0,0.0,0.017,22533.0,0.001,0.05,0.0,17.0,0.0,0.0,336.0
2020-03-09,19,1219.0,12.0,0.0,0.016,28733.0,0.001,0.042,0.0,18.0,0.0,0.0,429.0
