date,deaths,confirmed,recovered,projectedDeaths,lethality,derivedConfirmed,derivedLethality,testCoverage,deaths_per1mio,confirmed_per1mio,recovered_per1mio,projectedDeaths_per1mio,derivedConfirmed_per1mio
2020-01-22,17,548.0,28.0,0.0,0.031,18767.0,0.001,0.029,0.0,0.0,0.0,0.0,13.0
2020-01-23,18,643.0,30.0,0.0,0.028,21100.0,0.001,0.03,0.0,0.0,0.0,0.0,15.0
2020-01-24,26,920.0,36.0,0.0,0.028,23933.0,0.001,0.038,0.0,1.0,0.0,0.0,17.0
2020-01-25,42,1406.0,39.0,0.0,0.03,26833.0,0.002,0.052,0.0,1.0,0.0,0.0,19.0
2020-01-26,56,2075.0,49.0,0.0,0.027,30167.0,0.002,0.069,0.0,1.0,0.0,0.0,22.0
2020-01-27,82,2877.0,58.0,0.0,0.029,33733.0,0.002,0.085,0.0,2.0,0.0,0.0,24.0
2020-01-28,131,5509.0,101.0,0.0,0.024,37067.0,0.004,0.149,0.0,4.0,0.0,0.0,27.0
2020-01-29,133,6087.0,120.0,0.0,0.022,37233.0,0.004,0.163,0.0,4.0,0.0,0.0,27.0
2020-01-30,171,8141.0,135.0,0.0,0.021,45633.0,0.004,0.178,0.0,6.0,0.0,0.0,33.0
2020-01-31,213,9802.0,214.0,0.0,0.022,50700.0,0.004,0.193,0.0,7.0,0.0,0.0,36.0
2020-02-01,259,11891.0,275.0,0.0,0.022,55433.0,0.005,0.215,0.0,9.0,0.0,0.0,40.0
2020-02-02,361,16630.0,463.0,0.0,0.022,58867.0,0.006,0.283,0.0,12.0,0.0,0.0,42.0
2020-02-03,425,19716.0,614.0,0.0,0.022,62133.0,0.007,0.317,0.0,14.0,0.0,0.0,45.0
2020-02-04,491,23707.0,843.0,0.0,0.021,66767.0,0.007,0.355,0.0,17.0,1.0,0.0,48.0
2020-02-05,563,27440.0,1115.0,0.0,0.021,70533.0,0.008,0.389,0.0,20.0,1.0,0.0,51.0
2020-02-06,633,30587.0,1477.0,0.0,0.021,74600.0,0.008,0.41,0.0,22.0,1.0,0.0,54.0
2020-02-07,718,34110.0,1999.0,0.0,0.021,74600.0,0.01,0.457,1.0,24.0,1.0,0.0,54.0
2020-02-08,805,36814.0,2596.0,0.0,0.022,81433.0,0.01,0.452,1.0,26.0,2.0,0.0,58.0
2020-02-09,905,39829.0,3219.0,0.0,0.023,81500.0,0.011,0.489,1.0,29.0,2.0,0.0,59.0
2020-02-10,1012,42354.0,3918.0,0.0,0.024,86500.0,0.012,0.49,1.0,30.0,3.0,0.0,62.0
2020-02-11,1112,44386.0,4636.0,0.0,0.025,88833.0,0.013,0.5,1.0,32.0,3.0,0.0,64.0
2020-02-12,1117,44759.0,5082.0,0.0,0.025,90567.0,0.012,0.494,1.0,32.0,4.0,0.0,65.0
2020-02-13,1369,59895.0,6217.0,0.0,0.023,91533.0,0.015,0.654,1.0,43.0,4.0,0.0,66.0
2020-02-14,1521,66358.0,7977.0,0.0,0.023,93000.0,0.016,0.714,1.0,48.0,6.0,0.0,67.0
2020-02-15,1663,68413.0,9298.0,0.0,0.024,94567.0,0.018,0.723,1.0,49.0,7.0,0.0,68.0
2020-02-16,1766,70513.0,10755.0,0.0,0.025,95733.0,0.018,0.737,1.0,51.0,8.0,0.0,69.0
2020-02-17,1864,72434.0,12462.0,0.0,0.026,97133.0,0.019,0.746,1.0,52.0,9.0,0.0,70.0
